pr_id,repo_name,pr_number,pr_title,author_id,state,is_merged,is_draft,created_at,updated_at,closed_at,merged_at,merged_by_id,additions,deletions,pr_size,changed_files,commits_count,comments_count,review_comments_count,total_comments,cycle_time_hours,days_since_created,days_since_updated,first_review_at,last_review_at,time_to_first_review_hours,review_turnaround_time_hours,approvals_count,changes_requested_count,commented_count,has_approval
Am.EventKit#211,Am.EventKit,211,Found the reason for crash and fixed it,111196217,closed,True,False,2025-12-23T16:49:32+00:00,2025-12-28T18:25:05+00:00,2025-12-23T17:00:35+00:00,2025-12-23T17:00:35+00:00,145009023,7,3,10,2,2,0,0,0,0.18416666666666667,105,100,2025-12-23 17:00:22+00:00,2025-12-23 17:00:22+00:00,0.18055555555555555,,1,0,0,True
Am.EventKit#210,Am.EventKit,210,fix: only show students with confirmed booking,145009023,closed,True,False,2025-12-23T14:34:08+00:00,2025-12-28T18:25:06+00:00,2025-12-23T15:03:18+00:00,2025-12-23T15:03:18+00:00,72215925,21,5,26,2,1,0,0,0,0.4861111111111111,105,100,2025-12-23 15:03:12+00:00,2025-12-23 15:03:12+00:00,0.48444444444444446,,1,0,0,True
Am.EventKit#209,Am.EventKit,209,Fix/mail,145009023,closed,True,False,2025-12-23T10:38:11+00:00,2025-12-23T14:49:24+00:00,2025-12-23T14:49:24+00:00,2025-12-23T14:49:23+00:00,143313500,125,27,152,7,8,0,0,0,4.1866666666666665,105,105,2025-12-23 14:48:53+00:00,2025-12-23 14:48:53+00:00,4.178333333333334,,1,0,0,True
Am.EventKit#208,Am.EventKit,208,fix: allow single member team,145009023,closed,True,False,2025-12-23T08:58:57+00:00,2025-12-23T09:04:09+00:00,2025-12-23T09:03:00+00:00,2025-12-23T09:03:00+00:00,72215925,0,1,1,1,1,0,0,0,0.0675,105,105,2025-12-23 09:02:53+00:00,2025-12-23 09:02:53+00:00,0.06555555555555556,,1,0,0,True
Am.EventKit#207,Am.EventKit,207,fix: Deduplicate participants in solo events,72215925,closed,True,False,2025-12-22T11:04:27+00:00,2025-12-22T11:17:43+00:00,2025-12-22T11:07:35+00:00,2025-12-22T11:07:35+00:00,145009023,17,5,22,2,1,0,0,0,0.052222222222222225,106,106,2025-12-22 11:06:38+00:00,2025-12-22 11:06:38+00:00,0.03638888888888889,,1,0,0,True
Am.EventKit#206,Am.EventKit,206,feat: OrgAndAdmin middleware,72215925,closed,True,False,2025-12-21T21:48:49+00:00,2025-12-21T22:28:32+00:00,2025-12-21T22:28:28+00:00,2025-12-21T22:28:28+00:00,72215925,11,1,12,2,1,0,0,0,0.6608333333333334,106,106,2025-12-21 21:51:15+00:00,2025-12-21 21:51:15+00:00,0.04055555555555555,,1,0,0,True
Am.EventKit#205,Am.EventKit,205,feat: Organizer session endpoint,72215925,closed,True,False,2025-12-21T21:30:34+00:00,2025-12-21T21:44:15+00:00,2025-12-21T21:44:15+00:00,2025-12-21T21:44:14+00:00,145009677,101,10,111,15,5,0,0,0,0.22777777777777777,106,106,2025-12-21 21:44:07+00:00,2025-12-21 21:44:07+00:00,0.22583333333333333,,1,0,0,True
Am.EventKit#204,Am.EventKit,204,fix: team-events-bug-fix,111196217,closed,True,False,2025-12-21T09:49:34+00:00,2025-12-22T11:17:42+00:00,2025-12-21T10:12:03+00:00,2025-12-21T10:12:03+00:00,72215925,3,3,6,2,2,0,0,0,0.37472222222222223,107,106,2025-12-21 10:11:59+00:00,2025-12-21 10:11:59+00:00,0.3736111111111111,,1,0,0,True
Am.EventKit#203,Am.EventKit,203,feat: Org dashboard routes,72215925,closed,True,False,2025-12-20T22:12:02+00:00,2025-12-22T11:17:41+00:00,2025-12-20T22:15:30+00:00,2025-12-20T22:15:30+00:00,145009677,371,60,431,12,1,0,0,0,0.057777777777777775,107,106,2025-12-20 22:15:02+00:00,2025-12-20 22:15:02+00:00,0.05,,1,0,0,True
Am.EventKit#202,Am.EventKit,202,"Admin transaction list, seed in DEV mode only and generic code cleanup",72215925,closed,True,False,2025-12-20T09:51:18+00:00,2025-12-22T11:17:40+00:00,2025-12-20T19:40:40+00:00,2025-12-20T19:40:40+00:00,145009023,217,32,249,13,10,0,6,6,9.822777777777778,108,106,2025-12-20 09:58:48+00:00,2025-12-20 19:40:02+00:00,0.125,9.687222222222223,2,0,0,True
Am.EventKit#201,Am.EventKit,201,feat: Send organizers array in get-all-events to show along with tags,72215925,closed,True,False,2025-12-20T07:45:26+00:00,2025-12-22T11:17:39+00:00,2025-12-20T09:06:13+00:00,2025-12-20T09:06:13+00:00,145009023,38,6,44,2,1,0,0,0,1.3463888888888889,108,106,2025-12-20 09:05:58+00:00,2025-12-20 09:05:58+00:00,1.3422222222222222,,1,0,0,True
Am.EventKit#200,Am.EventKit,200,feat: Add missing foreign key for favourites table,72215925,closed,True,False,2025-12-20T05:07:32+00:00,2025-12-20T05:23:44+00:00,2025-12-20T05:19:17+00:00,2025-12-20T05:19:17+00:00,116747452,8,1,9,2,2,0,0,0,0.19583333333333333,108,108,2025-12-20 05:18:22+00:00,2025-12-20 05:18:22+00:00,0.18055555555555555,,1,0,0,True
Am.EventKit#199,Am.EventKit,199,feat: add metrics endpoint and enable Prometheus middleware,145009677,closed,True,False,2025-12-19T05:49:15+00:00,2025-12-20T08:10:54+00:00,2025-12-20T08:10:50+00:00,2025-12-20T08:10:50+00:00,72215925,5,2,7,2,1,0,0,0,26.35972222222222,109,108,2025-12-20 08:10:42+00:00,2025-12-20 08:10:42+00:00,26.3575,,1,0,0,True
Am.EventKit#198,Am.EventKit,198,bug fix,111196217,closed,True,False,2025-12-19T00:01:44+00:00,2025-12-22T11:17:36+00:00,2025-12-19T00:02:48+00:00,2025-12-19T00:02:48+00:00,72215925,1,1,2,1,1,0,0,0,0.017777777777777778,109,106,2025-12-19 00:02:39+00:00,2025-12-19 00:02:39+00:00,0.015277777777777777,,1,0,0,True
